globalSlot,batchFile,sheetSlot,itemIndex,itemName,variant,output,exists,family,subfamily,tradeRole,reviewStatus,reviewNotes,tokens
24,items-0001-0050.json,24,17,Brasskeep Gate Chronicle,one,book/brasskeep_gate_chronicle.png,yes,book,history,document,,,brasskeep_gate_chronicle brasskeep gate chronicle brasskeep gate chronicle book history document common book none books history book document one crafted common fragile dry
25,items-0001-0050.json,25,18,Pearlgate Tide Chronicle,one,book/pearlgate_tide_chronicle.png,yes,book,history,document,,,pearlgate_tide_chronicle pearlgate tide chronicle pearlgate tide chronicle book history document common book none books history book document one crafted common fragile dry
26,items-0001-0050.json,26,19,Riverwake Mill Chronicle,one,book/riverwake_mill_chronicle.png,yes,book,history,document,,,riverwake_mill_chronicle riverwake mill chronicle riverwake mill chronicle book history document common book none books history book document one crafted common fragile dry
27,items-0001-0050.json,27,20,Dawnmere Coast Chronicle,one,book/dawnmere_coast_chronicle.png,yes,book,history,document,,,dawnmere_coast_chronicle dawnmere coast chronicle dawnmere coast chronicle book history document common book none books history book document one crafted common fragile dry
28,items-0001-0050.json,28,21,Appleford Orchard Chronicle,one,book/appleford_orchard_chronicle.png,yes,book,history,document,,,appleford_orchard_chronicle appleford orchard chronicle appleford orchard chronicle book history document common book none books history book document one crafted common fragile dry
29,items-0001-0050.json,29,22,Wolfhook Bay Chronicle,one,book/wolfhook_bay_chronicle.png,yes,book,history,document,,,wolfhook_bay_chronicle wolfhook bay chronicle wolfhook bay chronicle book history document common book none books history book document one crafted common fragile dry
30,items-0001-0050.json,30,23,Mirrorfen Lake Chronicle,one,book/mirrorfen_lake_chronicle.png,yes,book,history,document,,,mirrorfen_lake_chronicle mirrorfen lake chronicle mirrorfen lake chronicle book history document common book none books history book document one crafted common fragile dry
31,items-0001-0050.json,31,24,Oldwake Harbor Chronicle,one,book/oldwake_harbor_chronicle.png,yes,book,history,document,,,oldwake_harbor_chronicle oldwake harbor chronicle oldwake harbor chronicle book history document common book none books history book document one crafted common fragile dry
32,items-0001-0050.json,32,25,Gatecrag Toll Chronicle,one,book/gatecrag_toll_chronicle.png,yes,book,history,document,,,gatecrag_toll_chronicle gatecrag toll chronicle gatecrag toll chronicle book history document common book none books history book document one crafted common fragile dry
33,items-0001-0050.json,33,26,Frosthaven Snow Chronicle,one,book/frosthaven_snow_chronicle.png,yes,book,history,document,,,frosthaven_snow_chronicle frosthaven snow chronicle frosthaven snow chronicle book history document common book none books history book document one crafted common fragile dry
34,items-0001-0050.json,34,27,Sunwell Oasis Chronicle,one,book/sunwell_oasis_chronicle.png,yes,book,history,document,,,sunwell_oasis_chronicle sunwell oasis chronicle sunwell oasis chronicle book history document common book none books history book document one crafted common fragile dry
35,items-0001-0050.json,35,28,Glassmere Court Chronicle,one,book/glassmere_court_chronicle.png,yes,book,history,document,,,glassmere_court_chronicle glassmere court chronicle glassmere court chronicle book history document common book none books history book document one crafted common fragile dry
36,items-0001-0050.json,36,29,Blue Enamel Charms,one,book/blue_enamel_charms.png,yes,book,document,document,,,blue_enamel_charms blue enamel charms blue enamel charms book document document uncommon book none books magic book document one crafted common fine fragile
37,items-0001-0050.json,37,30,Lantern-Summoning Primer,one,book/lantern_summoning_primer.png,yes,book,document,document,,,lantern_summoning_primer lantern-summoning primer lantern-summoning primer book document document uncommon book none books magic book document one crafted common fine fragile
38,items-0001-0050.json,38,31,Gravebinding Primer,one,book/gravebinding_primer.png,yes,book,document,document,,,gravebinding_primer gravebinding primer gravebinding primer book document document uncommon book none books magic book document one crafted common fine fragile
39,items-0001-0050.json,39,32,Mirror-Mask Primer,one,book/mirror_mask_primer.png,yes,book,document,document,,,mirror_mask_primer mirror-mask primer mirror-mask primer book document document uncommon book none books magic book document one crafted common fine fragile
40,items-0001-0050.json,40,33,Reshaping Primer,one,book/reshaping_primer.png,yes,book,document,document,,,reshaping_primer reshaping primer reshaping primer book document document uncommon book none books magic book document one crafted common fine fragile
41,items-0001-0050.json,41,34,Unraveling Primer,one,book/unraveling_primer.png,yes,book,document,document,,,unraveling_primer unraveling primer unraveling primer book document document uncommon book none books magic book document one crafted common fine fragile
42,items-0001-0050.json,42,35,Field Farmer's Almanac,one,book/field_farmer_s_almanac.png,yes,book,compendiums,document,,,field_farmer_s_almanac field farmer's almanac field farmer's almanac book compendiums document common book none books compendiums book document one crafted common fragile dry
43,items-0001-0050.json,43,36,Painted Flower Almanac,one,book/painted_flower_almanac.png,yes,book,compendiums,document,,,painted_flower_almanac painted flower almanac painted flower almanac book compendiums document common book none books compendiums book document one crafted common fragile dry
44,items-0001-0050.json,44,37,Pocket Guide to Small Beasts,one,book/pocket_guide_to_small_beasts.png,yes,book,compendiums,document,,,pocket_guide_to_small_beasts pocket guide to small beasts pocket guide to small beasts book compendiums document common book none books compendiums book document one crafted common fragile dry
45,items-0001-0050.json,45,38,Pocket Guide to Work Beasts,one,book/pocket_guide_to_work_beasts.png,yes,book,compendiums,document,,,pocket_guide_to_work_beasts pocket guide to work beasts pocket guide to work beasts book compendiums document common book none books compendiums book document one crafted common fragile dry
46,items-0001-0050.json,46,39,Fisher's Tide Almanac,one,book/fisher_s_tide_almanac.png,yes,book,compendiums,document,,,fisher_s_tide_almanac fisher's tide almanac fisher's tide almanac book compendiums document common book none books compendiums book document one crafted common fragile dry
47,items-0001-0050.json,47,40,Blue Enamel Bestiary,one,book/blue_enamel_bestiary.png,yes,book,compendiums,document,,,blue_enamel_bestiary blue enamel bestiary blue enamel bestiary book compendiums document common book none books compendiums book document one crafted common fragile dry
48,items-0001-0050.json,48,41,Amateur Alchemist's Shelf,one,book/amateur_alchemist_s_shelf.png,yes,book,compendiums,document,,,amateur_alchemist_s_shelf amateur alchemist's shelf amateur alchemist's shelf book compendiums document common book none books compendiums book document one crafted common fragile dry
49,items-0001-0050.json,49,42,Miner's Chalk Reference,one,book/miner_s_chalk_reference.png,yes,book,compendiums,document,,,miner_s_chalk_reference miner's chalk reference miner's chalk reference book compendiums document common book none books compendiums book document one crafted common fragile dry
50,items-0001-0050.json,50,43,Blacksmith's Door Directory,one,book/blacksmith_s_door_directory.png,yes,book,compendiums,document,,,blacksmith_s_door_directory blacksmith's door directory blacksmith's door directory book compendiums document common book none books compendiums book document one crafted common fragile dry
51,items-0051-0100.json,1,44,Crowncards Table Rules,one,book/crowncards_table_rules.png,yes,book,educational,document,,,crowncards_table_rules crowncards table rules crowncards table rules book educational document common book none books educational crowncards_lore book document one crafted common fragile
52,items-0051-0100.json,2,45,Crowncards Collector's Compendium,one,book/crowncards_collector_s_compendium.png,yes,book,educational,document,,,crowncards_collector_s_compendium crowncards collector's compendium crowncards collector's compendium book educational document common book none books educational crowncards_lore book document one crafted common fragile
53,items-0051-0100.json,3,46,Crowncards Deckcraft I,one,book/crowncards_deckcraft_i.png,yes,book,educational,document,,,crowncards_deckcraft_i crowncards deckcraft i crowncards deckcraft i book educational document common book none books educational crowncards_lore book document one crafted common fragile
54,items-0051-0100.json,4,47,Crowncards Deckcraft II,one,book/crowncards_deckcraft_ii.png,yes,book,educational,document,,,crowncards_deckcraft_ii crowncards deckcraft ii crowncards deckcraft ii book educational document common book none books educational crowncards_lore book document one crafted common fragile
55,items-0051-0100.json,5,48,Crowncards Winning Tables,one,book/crowncards_winning_tables.png,yes,book,educational,document,,,crowncards_winning_tables crowncards winning tables crowncards winning tables book educational document common book none books educational crowncards_lore book document one crafted common fragile
56,items-0051-0100.json,6,49,The Great Crowncards Match,one,book/the_great_crowncards_match.png,yes,book,educational,document,,,the_great_crowncards_match the great crowncards match the great crowncards match book educational document common book none books educational crowncards_lore book document one crafted common fragile
57,items-0051-0100.json,7,50,Nine Lantern Signs,one,book/nine_lantern_signs.png,yes,book,religious,document,,,nine_lantern_signs nine lantern signs nine lantern signs book religious document common book none books religious book document one crafted common fragile dry
58,items-0051-0100.json,8,51,Starfall Epic,one,book/starfall_epic.png,yes,book,religious,document,,,starfall_epic starfall epic starfall epic book religious document common book none books religious book document one crafted common fragile dry
59,items-0051-0100.json,9,52,One Hundred Thirty-One Market Charms,one,book/one_hundred_thirty_one_market_charms.png,yes,book,religious,document,,,one_hundred_thirty_one_market_charms one hundred thirty-one market charms one hundred thirty-one market charms book religious document common book none books religious book document one crafted common fragile dry
60,items-0051-0100.json,10,53,Book of Springtide,one,book/book_of_springtide.png,yes,book,religious,document,,,book_of_springtide book of springtide book of springtide book religious document common book none books religious book document one crafted common fragile dry
61,items-0051-0100.json,11,54,Book of Springtide in Gold Sleeve,one,book/book_of_springtide_in_gold_sleeve.png,yes,book,religious,document,,,book_of_springtide_in_gold_sleeve book of springtide in gold sleeve book of springtide in gold sleeve book religious document uncommon book none books religious book document one crafted common fine fragile
62,items-0051-0100.json,12,55,Children of the Tide Saints,one,book/children_of_the_tide_saints.png,yes,book,religious,document,,,children_of_the_tide_saints children of the tide saints children of the tide saints book religious document common book none books religious book document one crafted common fragile dry
63,items-0051-0100.json,13,56,Moonlit Awareness and Wonder,one,book/moonlit_awareness_and_wonder.png,yes,book,religious,document,,,moonlit_awareness_and_wonder moonlit awareness and wonder moonlit awareness and wonder book religious document common book none books religious book document one crafted common fragile dry
64,items-0051-0100.json,14,57,Luckbinder Manifesto,one,book/luckbinder_manifesto.png,yes,book,religious,document,,,luckbinder_manifesto luckbinder manifesto luckbinder manifesto book religious document common book none books religious book document one crafted common fragile dry
65,items-0051-0100.json,15,58,Battle of Stormmere,one,book/battle_of_stormmere.png,yes,book,history,document,,,battle_of_stormmere battle of stormmere battle of stormmere book history document common book none books history book document one crafted common fragile dry
66,items-0051-0100.json,16,59,Legend of Jaro,one,book/legend_of_jaro.png,yes,book,history,document,,,legend_of_jaro legend of jaro legend of jaro book history document common book none books history book document one crafted common fragile dry
67,items-0051-0100.json,17,60,Crownfall the First,one,book/crownfall_the_first.png,yes,book,history,document,,,crownfall_the_first crownfall the first crownfall the first book history document common book none books history book document one crafted common fragile dry
68,items-0051-0100.json,18,61,A Poor Merchant's Lucky Day,one,book/a_poor_merchant_s_lucky_day.png,yes,book,stories,document,,,a_poor_merchant_s_lucky_day a poor merchant's lucky day a poor merchant's lucky day book stories document common book none books stories book document one crafted common fragile dry
69,items-0051-0100.json,19,62,Bellmarsh Battle Report,one,book/bellmarsh_battle_report.png,yes,book,military,document,,,bellmarsh_battle_report bellmarsh battle report bellmarsh battle report book military document common book none books military book document one crafted common fragile dry
70,items-0051-0100.json,20,63,Tragedy of Captain Vey,one,book/tragedy_of_captain_vey.png,yes,book,stories,document,,,tragedy_of_captain_vey tragedy of captain vey tragedy of captain vey book stories document common book none books stories book document one crafted common fragile dry
71,items-0051-0100.json,21,64,Chronicles of the Banner Wars,one,book/chronicles_of_the_banner_wars.png,yes,book,history,document,,,chronicles_of_the_banner_wars chronicles of the banner wars chronicles of the banner wars book history document common book none books history book document one crafted common fragile dry
72,items-0051-0100.json,22,65,little tide words,one,book/little_tide_words.png,yes,book,stories,document,,,little_tide_words little tide words little tide words book stories document common book none books stories book document one crafted common fragile dry
73,items-0051-0100.json,23,66,Harbor Tales for Children,one,book/harbor_tales_for_children.png,yes,book,stories,document,,,harbor_tales_for_children harbor tales for children harbor tales for children book stories document common book none books stories book document one crafted common fragile dry
74,items-0051-0100.json,24,67,Folk Tales of the Border March,one,book/folk_tales_of_the_border_march.png,yes,book,stories,document,,,folk_tales_of_the_border_march folk tales of the border march folk tales of the border march book stories document common book none books stories book document one crafted common fragile dry
75,items-0051-0100.json,25,68,A Parable of Small Debts,one,book/a_parable_of_small_debts.png,yes,book,stories,document,,,a_parable_of_small_debts a parable of small debts a parable of small debts book stories document common book none books stories book document one crafted common fragile dry
76,items-0051-0100.json,26,69,Elder Orren's Indecent Errand,one,book/elder_orren_s_indecent_errand.png,yes,book,stories,document,,,elder_orren_s_indecent_errand elder orren's indecent errand elder orren's indecent errand book stories document common book none books stories book document one crafted common fragile dry
77,items-0051-0100.json,27,70,Prophecies of a Thousand Market Days,one,book/prophecies_of_a_thousand_market_days.png,yes,book,stories,document,,,prophecies_of_a_thousand_market_days prophecies of a thousand market days prophecies of a thousand market days book stories document common book none books stories book document one crafted common fragile dry
78,items-0051-0100.json,28,71,Amateur Alchemy,one,book/amateur_alchemy.png,yes,book,educational,document,,,amateur_alchemy amateur alchemy amateur alchemy book educational document common book none books educational book document one crafted common fragile dry
79,items-0051-0100.json,29,72,Advanced Alchemy,one,book/advanced_alchemy.png,yes,book,educational,document,,,advanced_alchemy advanced alchemy advanced alchemy book educational document common book none books educational book document one crafted common fragile dry
80,items-0051-0100.json,30,73,Merchant's Brass Handbook,one,book/merchant_s_brass_handbook.png,yes,book,educational,document,,,merchant_s_brass_handbook merchant's brass handbook merchant's brass handbook book educational document common book none books educational book document one crafted common fragile dry
81,items-0051-0100.json,31,74,Pocket Price Formula,one,book/pocket_price_formula.png,yes,book,educational,document,,,pocket_price_formula pocket price formula pocket price formula book educational document common book none books educational book document one crafted common fragile dry
82,items-0051-0100.json,32,75,The Practical Way of War,one,book/the_practical_way_of_war.png,yes,book,educational,document,,,the_practical_way_of_war the practical way of war the practical way of war book educational document common book none books educational book document one crafted common fragile dry
83,items-0051-0100.json,33,76,Tide Cant Harbor Glossary,one,book/tide_cant_harbor_glossary.png,yes,book,educational,document,,,tide_cant_harbor_glossary tide cant harbor glossary tide cant harbor glossary book educational document common book none books educational book document one crafted common fragile dry
84,items-0051-0100.json,34,77,Meditations by the Warehouse Door,one,book/meditations_by_the_warehouse_door.png,yes,book,educational,document,,,meditations_by_the_warehouse_door meditations by the warehouse door meditations by the warehouse door book educational document common book none books educational book document one crafted common fragile dry
85,items-0051-0100.json,35,78,Ponderings of the Infinite Ledger,one,book/ponderings_of_the_infinite_ledger.png,yes,book,educational,document,,,ponderings_of_the_infinite_ledger ponderings of the infinite ledger ponderings of the infinite ledger book educational document common book none books educational book document one crafted common fragile dry
86,items-0051-0100.json,36,79,Early Economics of Harbor Bread,one,book/early_economics_of_harbor_bread.png,yes,book,educational,document,,,early_economics_of_harbor_bread early economics of harbor bread early economics of harbor bread book educational document common book none books educational book document one crafted common fragile dry
87,items-0051-0100.json,37,80,Letter from a Worried Mother,one,book/letter_from_a_worried_mother.png,yes,book,journals,document,,,letter_from_a_worried_mother letter from a worried mother letter from a worried mother book journals document common book none books journals book document one crafted common fragile dry
88,items-0051-0100.json,38,81,Critique of Merren Vale's Painting,one,book/critique_of_merren_vale_s_painting.png,yes,book,educational,document,,,critique_of_merren_vale_s_painting critique of merren vale's painting critique of merren vale's painting book educational document common book none books educational book document one crafted common fragile dry
89,items-0051-0100.json,39,82,A Discussion on Trade Languages,one,book/a_discussion_on_trade_languages.png,yes,book,educational,document,,,a_discussion_on_trade_languages a discussion on trade languages a discussion on trade languages book educational document common book none books educational book document one crafted common fragile dry
90,items-0051-0100.json,40,83,A Study of Common Weapons,one,weapon/a_study_of_common_weapons.png,yes,weapon,educational,equipment,,,a_study_of_common_weapons a study of common weapons a study of common weapons weapon educational equipment common rack rusts books educational book document weapon equipment one few many
91,items-0051-0100.json,41,83,A Study of Common Weapons,few,weapon/a_study_of_common_weapons_few.png,yes,weapon,educational,equipment,,,a_study_of_common_weapons a study of common weapons a study of common weapons weapon educational equipment common rack rusts books educational book document weapon equipment one few many
92,items-0051-0100.json,42,83,A Study of Common Weapons,many,weapon/a_study_of_common_weapons_many.png,yes,weapon,educational,equipment,,,a_study_of_common_weapons a study of common weapons a study of common weapons weapon educational equipment common rack rusts books educational book document weapon equipment one few many
93,items-0051-0100.json,43,84,Essay on Caravan Strategy,one,book/essay_on_caravan_strategy.png,yes,book,educational,document,,,essay_on_caravan_strategy essay on caravan strategy essay on caravan strategy book educational document common book none books educational military book document one crafted common fragile
94,items-0051-0100.json,44,85,Examination of Market Beasts,one,book/examination_of_market_beasts.png,yes,book,educational,document,,,examination_of_market_beasts examination of market beasts examination of market beasts book educational document common book none books educational book document one crafted common fragile dry
95,items-0051-0100.json,45,86,Experimental Field Remedies,one,book/experimental_field_remedies.png,yes,book,educational,document,,,experimental_field_remedies experimental field remedies experimental field remedies book educational document common book none books educational book document one crafted common fragile dry
96,items-0051-0100.json,46,87,Redvale War Update,one,book/redvale_war_update.png,yes,book,military,document,,,redvale_war_update redvale war update redvale war update book military document common book none books military book document one crafted common fragile dry
97,items-0051-0100.json,47,88,Young Lovers' Letter,one,book/young_lovers_letter.png,yes,book,journals,document,,,young_lovers_letter young lovers' letter young lovers' letter book journals document common book none books journals book document one crafted common fragile dry
98,items-0051-0100.json,48,89,market rose quartz,one,luxury/market_rose_quartz.png,yes,luxury,jewelry,luxury,,,market_rose_quartz market rose quartz market rose quartz luxury jewelry luxury common single none jewelry gems gem luxury one few crafted common noble_luxury
99,items-0051-0100.json,49,90,notable amethyst,one,luxury/notable_amethyst.png,yes,luxury,jewelry,luxury,,,notable_amethyst notable amethyst notable amethyst luxury jewelry luxury common single none jewelry gems gem luxury one few crafted common noble_luxury
100,items-0051-0100.json,50,91,notable pink spinel,one,luxury/notable_pink_spinel.png,yes,luxury,jewelry,luxury,,,notable_pink_spinel notable pink spinel notable pink spinel luxury jewelry luxury uncommon single none jewelry gems gem luxury one few crafted common fine
101,items-0101-0150.json,1,92,scarce emerald,one,luxury/scarce_emerald.png,yes,luxury,jewelry,luxury,,,scarce_emerald scarce emerald scarce emerald luxury jewelry luxury uncommon single none jewelry gems gem luxury one few crafted common fine
102,items-0101-0150.json,2,93,scarce sapphire,one,luxury/scarce_sapphire.png,yes,luxury,jewelry,luxury,,,scarce_sapphire scarce sapphire scarce sapphire luxury jewelry luxury rare single none jewelry gems gem luxury one crafted common fine masterwork
103,items-0101-0150.json,3,94,fabled ruby,one,luxury/fabled_ruby.png,yes,luxury,jewelry,luxury,,,fabled_ruby fabled ruby fabled ruby luxury jewelry luxury rare single none jewelry gems gem luxury one crafted common fine masterwork
104,items-0101-0150.json,4,95,fabled white diamond,one,luxury/fabled_white_diamond.png,yes,luxury,jewelry,luxury,,,fabled_white_diamond fabled white diamond fabled white diamond luxury jewelry luxury legendary single none jewelry gems gem luxury one crafted common fine masterwork
105,items-0101-0150.json,5,96,gold crown,one,luxury/gold_crown.png,yes,luxury,jewelry,luxury,,,gold_crown gold crown gold crown luxury jewelry luxury legendary crate none jewelry crowns gold metal luxury one crafted common fine
106,items-0101-0150.json,6,97,gold crown with cushion,one,luxury/gold_crown_with_cushion.png,yes,luxury,jewelry,luxury,,,gold_crown_with_cushion gold crown with cushion gold crown with cushion luxury jewelry luxury legendary crate none jewelry crowns gold metal luxury one crafted common fine
107,items-0101-0150.json,7,98,gold crown with gem,one,luxury/gold_crown_with_gem.png,yes,luxury,jewelry,luxury,,,gold_crown_with_gem gold crown with gem gold crown with gem luxury jewelry luxury legendary crate none jewelry crowns gold metal luxury one crafted common fine
108,items-0101-0150.json,8,99,fabled aqua crystal,one,luxury/fabled_aqua_crystal.png,yes,luxury,jewelry,luxury,,,fabled_aqua_crystal fabled aqua crystal fabled aqua crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
109,items-0101-0150.json,9,100,fabled black crystal,one,luxury/fabled_black_crystal.png,yes,luxury,jewelry,luxury,,,fabled_black_crystal fabled black crystal fabled black crystal luxury jewelry luxury legendary single none jewelry crystals gem luxury one crafted common fine masterwork
110,items-0101-0150.json,10,101,fabled blue crystal,one,luxury/fabled_blue_crystal.png,yes,luxury,jewelry,luxury,,,fabled_blue_crystal fabled blue crystal fabled blue crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
111,items-0101-0150.json,11,102,fabled brown crystal,one,luxury/fabled_brown_crystal.png,yes,luxury,jewelry,luxury,,,fabled_brown_crystal fabled brown crystal fabled brown crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
112,items-0101-0150.json,12,103,fabled cyan crystal,one,luxury/fabled_cyan_crystal.png,yes,luxury,jewelry,luxury,,,fabled_cyan_crystal fabled cyan crystal fabled cyan crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
113,items-0101-0150.json,13,104,fabled gray crystal,one,luxury/fabled_gray_crystal.png,yes,luxury,jewelry,luxury,,,fabled_gray_crystal fabled gray crystal fabled gray crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
114,items-0101-0150.json,14,105,fabled emerald crystal,one,luxury/fabled_emerald_crystal.png,yes,luxury,jewelry,luxury,,,fabled_emerald_crystal fabled emerald crystal fabled emerald crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
115,items-0101-0150.json,15,106,fabled indigo crystal,one,luxury/fabled_indigo_crystal.png,yes,luxury,jewelry,luxury,,,fabled_indigo_crystal fabled indigo crystal fabled indigo crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
116,items-0101-0150.json,16,107,fabled green crystal,one,luxury/fabled_green_crystal.png,yes,luxury,jewelry,luxury,,,fabled_green_crystal fabled green crystal fabled green crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
117,items-0101-0150.json,17,108,fabled magenta crystal,one,luxury/fabled_magenta_crystal.png,yes,luxury,jewelry,luxury,,,fabled_magenta_crystal fabled magenta crystal fabled magenta crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
118,items-0101-0150.json,18,109,fabled red crystal,one,luxury/fabled_red_crystal.png,yes,luxury,jewelry,luxury,,,fabled_red_crystal fabled red crystal fabled red crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
119,items-0101-0150.json,19,110,fabled pink crystal,one,luxury/fabled_pink_crystal.png,yes,luxury,jewelry,luxury,,,fabled_pink_crystal fabled pink crystal fabled pink crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
120,items-0101-0150.json,20,111,fabled crimson crystal,one,luxury/fabled_crimson_crystal.png,yes,luxury,jewelry,luxury,,,fabled_crimson_crystal fabled crimson crystal fabled crimson crystal luxury jewelry luxury rare single none jewelry crystals gem luxury one crafted common fine masterwork
121,items-0101-0150.json,21,112,fabled white crystal,one,luxury/fabled_white_crystal.png,yes,luxury,jewelry,luxury,,,fabled_white_crystal fabled white crystal fabled white crystal luxury jewelry luxury legendary single none jewelry crystals gem luxury one crafted common fine masterwork
